Name,Height(in),Weight(lbs),40 yard,Bench press,Vert leap,Broad jump,Shuttle,HOF,Draft Pos,Games,Draft Year
"hicks,cl",69.4,192,4.5,8.0,31.5,116.0,4.34,0.0,74.0,98,1987
"atkins,ge",71.3,191,4.58,14.0,31.0,120.0,4.55,0.0,179.0,143,1987
"jones,le",73.0,186,4.64,9.0,31.5,113.0,4.33,0.0,239.0,2,1987
"cook,to",70.3,185,4.58,,29.0,114.0,4.3,0.0,207.0,150,1987
"williams,pe",73.0,203,4.67,8.0,29.0,103.0,4.21,0.0,,0,1987
"gordon,so",70.5,195,4.6,19.0,30.5,106.0,,0.0,157.0,7,1987
"haddix,wa",73.1,200,4.67,8.0,37.0,122.0,4.35,0.0,,0,1987
"little,jo",73.3,199,4.66,,29.0,113.0,4.19,0.0,,0,1987
"mack,mi",70.6,186,4.53,12.0,34.5,118.0,4.22,0.0,123.0,111,1987
"goode,ch",71.6,192,4.6,2.0,33.0,116.0,4.25,0.0,253.0,96,1987
"elliott,to",70.4,190,4.84,8.0,27.0,103.0,4.21,0.0,,0,1987
"francis,ro",69.4,188,4.49,8.0,34.0,115.0,4.06,0.0,39.0,54,1987
"peoples,ti",72.5,200,4.55,,29.0,112.0,4.44,0.0,174.0,0,1987
"adams,mi",69.8,198,4.42,13.0,32.0,118.0,4.6,0.0,67.0,15,1987
"holmes,da",74.4,188,4.73,2.0,30.5,116.0,4.22,0.0,,0,1987
"glaze,ch",71.8,197,4.5,,29.5,115.0,4.5,0.0,,0,1987
"anderson,an",73.6,208,4.69,,31.0,111.0,4.48,0.0,256.0,3,1987
"hall,de",72.0,202,4.48,3.0,30.5,112.0,4.61,0.0,38.0,76,1987
"thomas,er",70.3,171,4.38,7.0,35.0,126.0,4.22,0.0,49.0,111,1987
"mcdonald,ti",74.5,207,4.72,6.0,33.0,122.0,4.27,0.0,34.0,191,1987
"mitchell,ro",71.1,180,4.49,9.0,32.0,128.0,4.15,0.0,33.0,89,1987
"moore,ma",71.0,199,4.7,7.0,28.0,114.0,4.1,0.0,104.0,5,1987
"braggs,st",69.0,176,4.55,7.0,28.5,111.0,4.1,0.0,165.0,83,1987
"everett,th",68.0,177,4.56,11.0,,,,0.0,94.0,128,1987
"reynolds,ri",71.6,182,4.48,16.0,30.5,118.0,4.17,0.0,36.0,147,1987
"slater,el",69.8,193,4.59,7.0,26.0,116.0,4.16,0.0,,0,1987
"wilcots,so",70.3,186,4.6,11.0,31.5,118.0,4.4,0.0,215.0,92,1987
"jones,ne",72.8,194,4.64,6.0,,,,0.0,115.0,0,1987
"plummer,br",71.9,196,4.57,,29.5,118.0,4.17,0.0,250.0,52,1987
"bell,le",70.8,201,4.61,18.0,30.0,106.0,4.3,0.0,76.0,1,1987
"woodson,ro",72.0,202,4.33,10.0,36.0,125.0,3.98,1.0,10.0,238,1987
"davis,br",73.1,189,4.45,8.0,35.5,119.0,4.17,0.0,30.0,87,1987
"odomes,na",69.3,188,4.43,18.0,33.5,119.0,4.3,0.0,29.0,115,1987
"newman,an",72.1,199,4.43,17.0,38.5,133.0,3.82,0.0,35.0,178,1988
"baylor,jo",71.8,192,4.59,,30.5,120.0,4.1,0.0,129.0,74,1988
"owens,bi",73.4,197,4.63,16.0,30.5,112.0,4.13,0.0,263.0,16,1988
"vickers,da",74.6,197,4.86,7.0,33.0,110.0,4.25,0.0,,0,1988
"copeland,da",74.0,206,4.59,18.0,30.5,115.0,,0.0,244.0,73,1988
"sistrunk,dw",72.1,185,4.77,,31.5,106.0,4.4,0.0,,0,1988
"fullington,da",73.9,190,4.59,11.0,33.5,119.0,4.28,0.0,124.0,79,1988
"richard,ga",69.1,171,4.6,15.0,31.5,104.0,4.47,0.0,173.0,10,1988
"tate,da",72.6,178,4.71,14.0,35.5,126.0,4.24,0.0,208.0,142,1988
"guidry,ke",72.6,176,4.59,,36.0,124.0,4.1,0.0,79.0,17,1988
"northington,la",71.8,185,4.73,16.0,32.5,117.0,4.2,0.0,,0,1988
"mayhew,ma",68.5,172,4.47,7.0,34.0,111.0,4.42,0.0,262.0,118,1988
"krumm,to",72.8,195,4.79,3.0,27.0,106.0,4.34,0.0,,0,1988
"white,sh",71.1,191,4.47,10.0,35.5,112.0,3.97,0.0,62.0,72,1988
"porter,ke",70.5,211,4.56,15.0,34.5,119.0,4.2,0.0,59.0,78,1988
"ingram,ri",71.4,207,4.72,13.0,29.5,110.0,4.41,0.0,,0,1988
"booty,jo",72.5,177,4.65,11.0,34.5,126.0,4.43,0.0,257.0,102,1988
"royal,to",71.0,197,4.68,17.0,37.0,115.0,4.28,0.0,,0,1988
"williams,te",70.5,192,4.46,18.0,28.5,116.0,4.34,0.0,37.0,11,1988
"hines,pe",70.4,192,4.54,12.0,32.0,115.0,4.52,0.0,,0,1988
"washington,ja",72.9,191,4.66,6.0,34.0,116.0,4.43,0.0,137.0,114,1988
"everett,er",70.5,161,4.54,,38.5,129.0,4.09,0.0,122.0,75,1988
"thomas,ro",69.8,197,4.52,16.0,32.5,111.0,4.34,0.0,126.0,46,1988
"blades,be",72.6,216,4.53,15.0,33.0,121.0,4.18,0.0,3.0,136,1988
"dixon,ri",70.8,177,4.47,6.0,31.0,106.0,4.32,0.0,5.0,82,1988
"campbell,er",69.8,170,4.52,,30.5,109.0,4.4,0.0,,0,1988
"white,de",68.3,182,4.59,10.0,28.5,95.0,4.63,0.0,164.0,0,1988
"ball,mi",72.5,211,4.67,18.0,,,,0.0,104.0,84,1988
"hicks,ha",71.6,199,4.49,13.0,36.5,126.0,4.3,0.0,193.0,0,1988
"wells,br",70.0,184,4.53,15.0,33.5,115.0,4.33,0.0,226.0,0,1988
"brown,se",71.3,206,4.69,20.0,30.5,117.0,4.35,0.0,,0,1988
